iter	Logloss
0	0.65838457
1	0.6299434886
2	0.6045433493
3	0.5799878289
4	0.5566483442
5	0.5372488583
6	0.5180692336
7	0.5020787856
8	0.4867113001
9	0.4732066435
10	0.4613419477
11	0.4487678977
12	0.4374601476
13	0.4275320614
14	0.417959864
15	0.4091806748
16	0.3998805775
17	0.3918657191
18	0.3848667818
19	0.3787629071
20	0.3723865509
21	0.3671837302
22	0.3615092334
23	0.3558208017
24	0.3508063372
25	0.3457880357
26	0.341597658
27	0.338041328
28	0.3351607379
29	0.3316307517
30	0.328119435
31	0.3255503711
32	0.322441864
33	0.3193287345
34	0.316749685
35	0.3131714316
36	0.3107743432
37	0.3080123004
38	0.3053683561
39	0.3022620257
40	0.2999754513
41	0.2980527092
42	0.2962478638
43	0.2940597085
44	0.2918317907
45	0.2897289501
46	0.2881599426
47	0.2858783498
48	0.2835668003
49	0.2815894183
50	0.2791490443
51	0.2758066065
52	0.2731361614
53	0.2716645633
54	0.2701535393
55	0.2680428224
56	0.2664619446
57	0.2647902096
58	0.2636014602
59	0.2628178092
60	0.2619220958
61	0.2600062202
62	0.2585147633
63	0.257124755
64	0.2559513092
65	0.2543136821
66	0.2531433105
67	0.2519879509
68	0.2499000101
69	0.2484308131
70	0.2470914055
71	0.246402718
72	0.2450255001
73	0.2432773141
74	0.2420595281
75	0.2401323879
76	0.2389185288
77	0.2370485194
78	0.2360490687
79	0.2351185518
80	0.2338819616
81	0.2330312841
82	0.2319350523
83	0.2310418297
84	0.2303724177
85	0.2293027092
86	0.2284104291
87	0.2275073332
88	0.2265068727
89	0.2257509568
90	0.2251712575
91	0.2238892499
92	0.2231739717
93	0.2222535077
94	0.2216116064
95	0.2206568101
96	0.2190067291
97	0.2180196874
98	0.2172398287
99	0.216603784
