iter	Passed	Remaining
0	159	15811
1	161	7924
2	163	5285
3	165	3973
4	168	3194
5	169	2661
6	171	2281
7	173	1996
8	175	1774
9	177	1593
10	178	1445
11	180	1326
12	183	1224
13	184	1135
14	187	1060
15	189	992
16	190	931
17	192	875
18	194	828
19	196	785
20	198	745
21	199	708
22	201	675
23	203	644
24	205	615
25	206	588
26	208	564
27	211	542
28	212	521
29	214	501
30	216	481
31	217	463
32	220	446
33	221	430
34	223	415
35	225	401
36	227	387
37	229	374
38	231	361
39	232	349
40	234	338
41	236	327
42	238	316
43	240	306
44	242	296
45	244	286
46	246	277
47	247	268
48	249	259
49	251	251
50	253	243
51	255	236
52	257	228
53	259	220
54	261	214
55	264	207
56	266	200
57	268	194
58	270	188
59	272	181
60	275	176
61	277	170
62	279	164
63	284	160
64	286	154
65	289	148
66	290	143
67	292	137
68	294	132
69	295	126
70	298	121
71	300	116
72	303	112
73	305	107
74	307	102
75	310	98
76	313	93
77	315	89
78	318	84
79	320	80
80	321	75
81	324	71
82	326	66
83	328	62
84	330	58
85	331	54
86	333	49
87	364	49
88	366	45
89	369	41
90	376	37
91	384	33
92	388	29
93	391	24
94	393	20
95	395	16
96	397	12
97	399	8
98	401	4
99	403	0
